"fy_ef","organization_id","organization","core_responsibility","program_id","program_name","planned_spending_1","actual_spending","planned_spending_2","planned_spending_3","planned_ftes_1","actual_ftes","planned_ftes_2","planned_ftes_3","planning_explanation","variance_explanation"
"2020-2021",46,"Canada Revenue Agency","Tax","BRA01","Tax Services and Processing",844460077.00,1232375372.80,846979785.00,836875460.00,8039.00,10653.00,8015.00,7892.00,,"Increase in spending is primarily due to retroactive payments from new collective agreements, new funding received to implement measures associated with the Government’s response to COVID-19, and in-year transfers from Collections for term employees and other staff redirected to work on COVID-19 initiatives. Other increases are due to incremental funding allocated for major project investments and operational priorities including addressing a void in call centre capacity as agents resume regular business operations, service levels for general enquiries, and pressures in individual returns workload.

Increase in FTEs is primarily due to new funding received to implement measures associated with the Government’s response to COVID-19 as well as in-year transfers from Collections for term employees and other staff redirected to work on COVID-19 initiatives. Other increases are due to incremental funding allocated for major project investments and operational priorities including addressing a void in call centre capacity as agents resume regular business operations, service levels for general enquiries, and pressures in individual returns workload."
"2020-2021",46,"Canada Revenue Agency","Tax","BRA02","Returns Compliance",333632599.00,396349254.86,334550269.00,332436857.00,5635.00,5058.00,5655.00,5630.00,,"Increase in spending is primarily due to retroactive payments from new collective agreements. This is partially offset by a decrease in spending on postage, the shifting of resources to COVID-19 initiatives, and workload transfers with other areas including for information technology activities carried out on behalf of the program. 

Decrease in FTEs is primarily due to overall staffing not materializing as resources were shifted to prioritize COVID-19 initiatives. The transition from critical services to business resumption of normal operations has been gradual with various compliance activities that were on hold due to COVID-19 slowly resuming. Additional decreases are due to workload transfers with other areas including for information technology activities carried out on behalf of the program."
"2020-2021",46,"Canada Revenue Agency","Tax","BRA03","Collections",425019127.00,470623139.82,429183954.00,409120038.00,5940.00,5345.00,5937.00,5778.00,,"Increase in spending is primarily due to retroactive payments from new collective agreements. This is partially offset by a decrease spending on postage and legal services, the shifting of resources to COVID-19 initiatives, and workload transfers with other areas including for information technology activities carried out on behalf of the program. 

Decrease in FTEs is primarily due to overall staffing not materializing due to COVID-19 as well as in-year transfers to Tax Services and Processing and Benefits for term employees and other staff redirected to work on COVID-19 initiatives. Additional decreases are due to workload transfers with other areas including for information technology activities carried out on behalf of the program."
"2020-2021",46,"Canada Revenue Agency","Tax","BRA04","Domestic Compliance",778391100.00,860364454.39,784897888.00,785534364.00,7275.00,7191.00,7257.00,7220.00,,"Increase in spending is primarily due to retroactive payments from new collective agreements. Additional increases are associated with workload transfers from other programs including Charities for field audits."
"2020-2021",46,"Canada Revenue Agency","Tax","BRA05","International and Large Business Compliance and Criminal Investigations",468619598.00,470693837.30,475648774.00,472642963.00,3547.00,3308.00,3549.00,3519.00,,
"2020-2021",46,"Canada Revenue Agency","Tax","BRA06","Objections and Appeals",198505279.00,226040457.58,211335120.00,208341266.00,1523.00,1577.00,1612.00,1610.00,,"Increase in spending is primarily due to retroactive payments from new collective agreements as well as incremental funding allocated for major project investments and operational priorities to provide timely tax certainty to taxpayers. Other increases are due to tax court awards partially offset by lower than planned cost recovery work and Department of Justice and expert witness expenditures."
"2020-2021",46,"Canada Revenue Agency","Tax","BRA07","Taxpayer Relief",18571499.00,25732803.08,19730550.00,19654820.00,211.00,283.00,245.00,245.00,,"Increase in spending is primarily due to retroactive payments from new collective agreements.

Increase in FTEs is primarily due to lower actual cost per FTE than planned."
"2020-2021",46,"Canada Revenue Agency","Tax","BRA08","Service Complaints",12582009.00,19364822.32,9863353.00,9854214.00,121.00,144.00,105.00,105.00,,"Increase in spending is primarily due to retroactive payments from new collective agreements and incremental funding allocated for operational priorities such as the modernization of service redress programs. Other increases are due to higher than planned information technology costs for activities carried out on behalf of the program. 

Increase in FTEs is primarily due to incremental funding allocated for operational priorities such as the modernization of service redress programs."
"2020-2021",46,"Canada Revenue Agency","Tax","BRA09","Charities",39179147.00,43235305.33,39267674.00,39345062.00,373.00,346.00,369.00,362.00,,"Increase in spending is primarily due to retroactive payments from new collective agreements as well as new funding to implement measures announced as part of Budget 2019. This is partially offset by the transfer of workload to other programs, primarily to Domestic Compliance for field audits."
"2020-2021",46,"Canada Revenue Agency","Tax","BRA10","Registered Plans",20164088.00,24686875.32,20215447.00,20263347.00,209.00,200.00,207.00,207.00,,"Increase in spending is primarily due to retroactive payments from new collective agreements and over programming to reduce perpetual understaffing. Other increases are due to higher than planned information technology costs for activities carried out on behalf of the program."
"2020-2021",46,"Canada Revenue Agency","Tax","BRA11","Policy, Rulings, and Interpretations",125165445.00,118788868.07,129144022.00,90386564.00,1446.00,1313.00,1453.00,1143.00,,
"2020-2021",46,"Canada Revenue Agency","Benefits","BRB01","Benefits",3929115162.00,5147281793.28,4889329806.00,5559277731.00,1433.00,1463.00,1422.00,1421.00,,"Majority of the increase in spending is associated with the distribution of fuel charge proceeds to the province or territory of origin, primarily through the Climate Action Incentive payment ($1.2B). Excluding transfer payments, the overall increase in spending is $37M. This is primarily due to retroactive payments from new collective agreements, new funding received to implement measures associated with the Government’s response to COVID-19 as well as in-year transfers from Collections for term employees and other staff redirected to work on COVID-19 initiatives."
"2020-2021",46,"Canada Revenue Agency","Taxpayers' Ombudsman","BRC01","Taxpayers' Ombudsman",3780057.00,4614641.29,3622239.00,3618943.00,33.00,33.00,32.00,32.00,,"Increase in spending is primarily due to retroactive payments from new collective agreements, higher than planned information technology costs for activities carried out on behalf of the program, and an increase in attributed publishing costs."
"2020-2021",46,"Canada Revenue Agency","Internal Services","ISS01","Management and Oversight Services",141755275.00,172947191.90,142451338.00,140895851.00,1151.00,1246.00,1158.00,1143.00,,"Increase in spending is primarily due to retroactive payments from new collective agreements and incremental funding for operational priorities."
